# Time-averaged data for fix rdf_avg
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3] c_rdf[4] c_rdf[5] c_rdf[6] c_rdf[7]
1000 100
67 1.6625 0.874266 2.99945 0.943831 4.41782 0.906096 2.9623
68 1.6875 0.819234 3.1453 0.912356 4.58106 0.858272 3.1151
69 1.7125 0.805853 3.29305 0.936112 4.75356 0.929608 3.28554
70 1.7375 0.819177 3.44766 0.962376 4.93611 1.023 3.47862
71 1.7625 0.863247 3.61531 0.923716 5.1164 0.95485 3.66406
72 1.7875 0.889681 3.79303 0.899279 5.29694 0.921369 3.84811
73 1.8125 0.942139 3.98653 0.910638 5.48492 0.919012 4.03686
74 1.8375 0.963056 4.18982 0.845584 5.6643 1.02853 4.25397
75 1.8625 0.889237 4.38267 0.879974 5.85611 1.0236 4.47596
76 1.8875 0.891833 4.58131 0.8859 6.05442 0.993749 4.6973
77 1.9125 0.944105 4.7972 0.877532 6.25609 1.02553 4.93181
78 1.9375 0.970519 5.02497 0.918755 6.4728 1.00329 5.16727
79 1.9625 0.943791 5.25222 0.922419 6.69602 0.915176 5.38763
80 1.9875 1.00503 5.50042 0.924903 6.92557 0.947165 5.62154
81 2.0125 0.890329 5.72586 0.887823 7.15151 0.855378 5.83813
82 2.0375 0.903716 5.96041 0.892526 7.38432 0.883372 6.0674
83 2.0625 0.968912 6.21809 0.927683 7.63227 0.862613 6.29681
84 2.0875 1.03651 6.50047 0.906747 7.88055 0.893538 6.54024
85 2.1125 1.00739 6.78153 0.887481 8.1294 0.879791 6.7857
86 2.1375 0.9701 7.05863 0.934909 8.39778 0.933725 7.05241
87 2.1625 1.04094 7.36296 0.961166 8.68021 1.01645 7.34958
88 2.1875 0.981615 7.65662 1.00022 8.98094 1.00067 7.64894
89 2.2125 0.973934 7.95468 1.01115 9.29194 1.0119 7.95862
90 2.2375 1.03009 8.27709 1.04033 9.61919 1.03245 8.28177
91 2.2625 1.05779 8.61561 1.01547 9.9458 1.04385 8.61583
92 2.2875 1.00252 8.94357 1.02162 10.2817 1.08419 8.97051
93 2.3125 1.08493 9.30629 1.09858 10.6508 1.08541 9.33339
94 2.3375 1.09334 9.67977 1.0556 11.0132 1.09466 9.70732
95 2.3625 1.08549 10.0585 0.982325 11.3577 1.03995 10.0702
96 2.3875 1.13446 10.4628 1.00416 11.7174 1.07603 10.4537
97 2.4125 1.0694 10.8519 0.99095 12.0797 1.02329 10.826
98 2.4375 1.07916 11.2528 1.00114 12.4535 1.04591 11.2145
99 2.4625 1.02586 11.6417 1.01306 12.8395 1.04918 11.6123
100 2.4875 1.05974 12.0516 1.07328 13.2567 1.04795 12.0176
4000 100
1 0.0125 0 0 0 0 0 0
2 0.0375 0 0 0 0 0 0
3 0.0625 0 0 0 0 0 0
4 0.0875 0 0 0 0 0 0
5 0.1125 0 0 0 0 0 0
6 0.1375 0 0 0 0 0 0
7 0.1625 0 0 0 0 0 0
8 0.1875 0 0 0 0 0 0
9 0.2125 0 0 0 0 0 0
10 0.2375 0 0 0 0 0 0
11 0.2625 0 0 0 0 0 0
12 0.2875 0 0 0 0 0 0
13 0.3125 0 0 0 0 0 0
14 0.3375 0 0 0 0 0 0
15 0.3625 0 0 0 0 0 0
16 0.3875 0 0 0 0 0 0
17 0.4125 0 0 0 0 0 0
18 0.4375 0 0 0 0 0 0
19 0.4625 0 0 0 0 0 0
20 0.4875 0 0 0 0 0 0
21 0.5125 0 0 0 0 0 0
22 0.5375 0 0 0 0 0 0
23 0.5625 0 0 0 0 0 0
24 0.5875 0 0 0 0 0 0
25 0.6125 0 0 0 0 0 0
26 0.6375 0 0 0 0 0 0
27 0.6625 0 0 0 0 0 0
28 0.6875 0 0 0 0 0 0
29 0.7125 0 0 0 0 0 0
30 0.7375 0 0 0 0 0 0
31 0.7625 0 0 0 0 0 0
32 0.7875 0 0 0 0 0 0
33 0.8125 0 0 0 0 0 0
34 0.8375 0 0 0 0 0 0
35 0.8625 0 0 0 0 0 0
36 0.8875 0 0 0 0 0 0
37 0.9125 0 0 0 0 0 0
38 0.9375 0 0 0 0 0 0
39 0.9625 0 0 0 0 0 0
40 0.9875 0 0 0 0 0 0
41 1.0125 0 0 0 0 0 0
42 1.0375 0 0 0 0 0 0
43 1.0625 0.00481724 0.00034 0.0156482 0.00111 0.00850101 0.0006
44 1.0875 0.313497 0.02352 0.722968 0.054835 0.303218 0.02302
45 1.1125 1.28007 0.12257 2.6369 0.2599 1.06399 0.10535
46 1.1375 1.55843 0.24864 2.74373 0.48297 1.19537 0.20205
47 1.1625 1.34596 0.36236 2.70966 0.71306 1.01846 0.2881
48 1.1875 1.35352 0.48169 2.73446 0.95535 0.856255 0.36359
49 1.2125 1.25356 0.59691 2.50541 1.18679 1.08427 0.46325
50 1.2375 1.2686 0.71837 2.22241 1.40064 1.15778 0.5741
51 1.2625 1.27847 0.84577 2.09703 1.61066 1.1173 0.68544
52 1.2875 1.0917 0.95891 2.05939 1.82516 1.05533 0.79481
53 1.3125 1.19471 1.08758 1.88589 2.02929 1.06398 0.9094
54 1.3375 1.09548 1.2101 1.78117 2.2295 1.11425 1.03402
55 1.3625 1.08942 1.33654 1.74834 2.43344 1.12208 1.16425
56 1.3875 1.03955 1.46166 1.59047 2.62582 1.18611 1.30701
57 1.4125 0.988489 1.58496 1.44688 2.80721 0.992417 1.4308
58 1.4375 0.978093 1.71132 1.30265 2.97635 0.99489 1.55933
59 1.4625 0.910017 1.83301 1.17665 3.13448 1.15425 1.71368
60 1.4875 0.916915 1.95985 1.11459 3.28944 0.99318 1.85107
61 1.5125 0.874899 2.08498 1.13082 3.45198 1.12521 2.012
62 1.5375 0.951761 2.22564 1.18466 3.62794 1.09589 2.17396
63 1.5625 0.856098 2.35631 1.17264 3.80783 1.08121 2.33899
64 1.5875 0.8025 2.48275 1.10727 3.98317 1.08963 2.51067
65 1.6125 0.880788 2.62593 1.07155 4.15823 1.0499 2.68134
66 1.6375 0.912499 2.7789 1.02003 4.33009 0.97573 2.84491
67 1.6625 0.872762 2.92971 1.03236 4.50937 0.97913 3.0141
68 1.6875 0.860519 3.08291 0.968189 4.6826 0.987968 3.18999
69 1.7125 0.9067 3.24915 0.892344 4.84703 0.99364 3.37217
70 1.7375 0.872266 3.41378 0.963668 5.02983 0.939661 3.54952
71 1.7625 0.924933 3.59341 0.968161 5.2188 0.927147 3.72958
72 1.7875 0.887528 3.7707 0.899503 5.39938 1.00262 3.92986
73 1.8125 0.94584 3.96496 0.842693 5.57333 0.943697 4.12368
74 1.8375 0.953439 4.16622 0.874951 5.75895 0.947234 4.32363
75 1.8625 0.954068 4.37313 0.817417 5.93712 0.918425 4.52281
76 1.8875 0.881282 4.56942 0.782773 6.11234 0.856499 4.71358
77 1.9125 0.94428 4.78535 0.786896 6.29318 0.862198 4.91074
78 1.9375 0.935281 5.00485 0.771045 6.47505 0.889902 5.11959
79 1.9625 0.867166 5.21365 0.805928 6.67008 0.938682 5.34561
80 1.9875 0.91137 5.43872 0.821136 6.87388 0.935261 5.57658
81 2.0125 0.874295 5.6601 0.869825 7.09524 1.03736 5.83925
82 2.0375 0.953265 5.90751 0.908992 7.33235 1.01838 6.10356
83 2.0625 0.906419 6.14857 0.927777 7.58032 0.998505 6.36911
84 2.0875 0.876249 6.38729 0.923986 7.83332 1.01463 6.64553
85 2.1125 0.96635 6.6569 0.839942 8.06883 1.01058 6.92748
86 2.1375 1.10436 6.97235 0.862942 8.31657 1.0468 7.22649
87 2.1625 1.13459 7.30406 0.867166 8.57136 0.991581 7.51639
88 2.1875 1.0845 7.6285 0.92527 8.84956 1.03754 7.82678
89 2.2125 1.0868 7.9611 0.917939 9.1319 1.08608 8.15916
90 2.2375 1.04622 8.28856 0.95702 9.43294 1.03619 8.48348
91 2.2625 1.05448 8.62602 0.9795 9.74798 1.00861 8.80626
92 2.2875 1.01908 8.9594 1.02596 10.0853 1.08086 9.15985
93 2.3125 1.11532 9.33228 1.10595 10.4569 1.02475 9.50245
94 2.3375 1.02754 9.68328 1.04998 10.8174 1.06723 9.86701
95 2.3625 1.07818 10.0595 1.02684 11.1775 0.986044 10.2111
96 2.3875 1.08684 10.4468 1.02922 11.5461 1.00686 10.5699
97 2.4125 1.11398 10.8521 1.06489 11.9355 1.11887 10.977
